"student_id","program_id","timestamp","GADS_1orig","GADS_2orig","GADS_3orig","GADS_4orig","GADS_10orig","GADS_11orig","GADS_12orig","GADS_13orig","GADS_1","GADS_2","GADS_3","GADS_4","GADS_10","GADS_11","GADS_12","GADS_13","GADS_sum_ans_4","GADS_sum_dep_4","SE01_conf_aprender","SE02_autonomia_aprender","SE14NEG_cuesta_ejercicios","SE14R_cuesta_ejercicios","SE03_resolver_ejercicios","SE04_estudiar_tiempo_necesario","SE15NEG_cuesta_clases","SE15R_cuesta_clases","SE06_entender_compleja","SE08_buscar_ayuda_autonomia","SE09_conf_aprobar","SE10_identif_baches","SE16NEG_cuesta_comparacion","SE16R_cuesta_comparacion","SE11_entender_clases","SE13_resiliencia","SE_t1","SEpos_t1","SENeg_t1","SENegR_t1","BPN01_AS","BPN02_AF","BPN03_RF","BPN04_CS","BPN05_AS","BPN06_AF","BPN07_RS","BPN08_RF","BPN09_CF","BPN10_RS","BPN11_CF","BPN12_CS","BPN_CS_t2","BPN_CF_t2","BPN_AS_t2","BPN_AF_t2","BPN_RS_t2","BPN_RF_t2","PERC_lastP_cat","PERC_lastP","SABE_NOTA_lastP","ESTUDIO_ANTICIPADO_cat","ESTUDIO_ANTICIPADO","VECES_ESTUDIO_cat","VECES_ESTUDIO","HORAS_ESTUDIO_cat","HORAS_ESTUDIO","ESTUDIARIA_MAS_cat","ESTUDIARIA_MAS","VER_VS_RESOLVER_APRENDER","VER_VS_RESOLVER_PRUEBAS","VER_VS_RESOLVER_TIEMPO"
"063999053f11caa416af42783d1c4d",1708,"7/1/2024 10:07:52",2,2,0,2,2,0,0,2,1,1,0,1,1,0,0,1,3,2,6,4,3,4,4,4,2,5,4,6,6,5,4,3,6,5,4.769230769,5,3,4,4,2,1,4,3,2,3,1,3,4,3,3,3.5,3,3.5,2,3.5,1,"muy mal",1,"Si","2 días antes",2,"2 veces",2,"entre 3 y 6 horas",3,"Más",1,4,6,4
"c461c54649c00499937f67c3e1dce3",1708,"6/27/2024 12:50:29",1,2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,5,5,2,5,6,5,3,4,5,6,6,5,2,5,5,5,5.153846154,5.3,2.333333333,4.666666667,4,3,2,5,5,2,4,2,2,5,2,4,4.5,2,4.5,2.5,4.5,2,"bien",4,"No","2 semanas antes",14,"4 veces",4,"entre 6 y 10 horas",6,"Igual",0,1,6,5
"cc710280fe622af07107380c9c7f21",1704,"6/25/2024 12:00:58",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,5,3,1,5,5,4,5,1,1,5,1,5,5,1,5,3.5,5,1,"muy bien",5,"No","1 semana antes",7,"4 veces",4,"entre 6 y 10 horas",6,"Igual",0,6,5,5
"690085619a68edfec8fb6cdfd23e20",1740,"7/1/2024 14:53:30",2,3,1,2,2,2,3,3,1,1,0,1,1,1,1,1,3,4,4,4,3,4,5,5,4,3,2,3,2,3,5,2,3,4,3.384615385,3.5,4,3,3,2,3,4,2,2,3,3,5,3,4,3,3.5,4.5,2.5,2,3,3,"muy mal",1,"Si","entre 3 y 6 días antes",3,"2 veces",2,"entre 3 y 6 horas",3,"Mucho más",2,2,5,5
"fcd44fb7674b9a82fe1506964f3834",1736,"6/26/2024 15:15:43",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,5,6,2,1,6,6,4,6,6,1,6,6,3,5.076923077,4.9,1.333333333,5.666666667,3,5,1,5,5,5,5,1,2,5,1,2,3.5,1.5,4,5,5,1,"bien",4,"No","2 días antes",2,"3 veces",3,"entre 3 y 6 horas",3,"Mucho más",2,5,5,2
"7f8a4d3982b3d5ebf540e6113ce259",1822,"6/24/2024 11:14:15",2,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,2,0,6,6,2,5,5,5,2,5,6,5,6,5,1,6,5,4,5.307692308,5.3,1.666666667,5.333333333,3,2,1,4,4,2,5,1,2,3,3,3,3.5,2.5,3.5,2,4,1,"más o menos",3,"No","2 semanas antes",14,"5 o más veces",5,"entre 6 y 10 horas",6,"Igual",0,5,6,6
"944e4cf09b4f0c9042a4cfcdc001d4",1740,"7/1/2024 14:41:22",2,2,1,1,2,1,1,2,1,1,0,0,1,0,0,1,2,2,2,3,6,1,1,1,6,1,1,3,3,5,6,1,3,2,2.076923077,2.4,6,1,4,5,3,2,2,2,1,3,5,1,5,1,1.5,5,3,3.5,1,3,"mal",2,"Si","entre 3 y 6 días antes",3,"4 veces",4,"entre 6 y 10 horas",6,"Más",1,3,3,1
"5d5836285631a5098630fe1d3893a5",1736,"6/26/2024 15:10:10",1,1,0,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,5,3,2,5,5,3,1,6,5,6,4,6,2,5,5,4,4.769230769,4.6,1.666666667,5.333333333,4,3,2,4,4,2,4,1,2,4,2,4,4,2,4,2.5,4,1.5,"más o menos",3,"No","2 días antes",2,"4 veces",4,"entre 6 y 10 horas",6,"Más",1,3,5,4
"4133cd60fb847b73f9dc7eae4c8aa9",1822,"6/26/2024 11:22:41",3,3,2,3,3,2,2,3,1,1,1,1,1,1,1,1,4,4,5,4,6,1,5,6,6,1,5,4,3,5,5,2,4,3,3.692307692,4.4,5.666666667,1.333333333,3,5,4,3,3,5,3,3,5,4,5,3,3,5,3,5,3.5,3.5,"bien",4,"No","2 semanas antes",14,"5 o más veces",5,"entre 15 y 24 horas",15,"Mucho más",2,6,6,6
"a2bc98c783a524454cae830d58ccea",1740,"7/1/2024 14:41:03",2,2,3,3,1,1,0,1,1,1,1,1,0,0,0,0,4,0,6,3,1,6,5,6,2,5,6,6,6,6,2,5,5,6,5.461538462,5.5,1.666666667,5.333333333,3,5,2,4,3,5,3,2,4,3,2,4,4,3,3,5,3,2,"más o menos",3,"Si","2 días antes",2,"5 o más veces",5,"entre 1 y 3 horas",1,"Más",1,6,6,6
